PM25,date,alt,atm,PM1,temp,PM10,humid
52,2017-07-06T09:30:03.220Z,85.13,1003.06,27,28.88,56,71.04
55,2017-07-06T09:45:03.008Z,86.34,1002.95,27,25.67,63,82.95
37,2017-07-06T10:00:03.834Z,86.31,1002.92,21,25.97,41,82.01
37,2017-07-06T10:15:03.260Z,84.44,1003.15,21,25.72,41,83.74
50,2017-07-06T10:30:02.806Z,83.31,1003.3,24,27.47,58,76.68
50,2017-07-06T10:45:03.531Z,80.92,1003.59,24,26.52,58,80.88
72,2017-07-06T11:00:13.377Z,78.61,1003.87,32,26.69,79,80.9
72,2017-07-06T11:15:03.460Z,78.54,1003.87,32,28.7,79,73.2
72,2017-07-06T11:30:03.037Z,77.59,1003.95,32,27.36,79,79.41
250,2017-07-06T11:45:02.934Z,77.47,1004,124,29.04,281,73.04
150,2017-07-06T12:00:04.178Z,75.46,1004.2,76,29.05,168,71.48
150,2017-07-06T12:15:03.251Z,76.98,1004.03,76,28.29,168,76.11
150,2017-07-06T12:30:02.945Z,76.68,1004.05,76,28.39,168,75.13
150,2017-07-06T12:45:03.704Z,77.99,1003.9,76,27.8,168,75.87
150,2017-07-06T13:00:13.642Z,79.03,1003.79,76,28.82,168,72.18
66,2017-07-06T13:15:03.453Z,79.4,1003.74,28,28.06,75,75.36
66,2017-07-06T13:30:03.326Z,79.75,1003.66,28,26.79,75,83.41
66,2017-07-06T13:45:03.334Z,79.62,1003.72,28,26.38,75,86.96
64,2017-07-06T14:00:02.833Z,78.96,1003.8,32,26.05,75,89.05
64,2017-07-06T14:15:03.830Z,78.57,1003.83,32,27.58,75,80.24
65,2017-07-06T14:30:03.625Z,79.78,1003.73,30,26.16,73,86.54
65,2017-07-06T14:45:03.522Z,79.83,1003.7,30,26.34,73,85.89
73,2017-07-06T15:00:03.217Z,78.22,1003.91,31,25.91,81,88.12
73,2017-07-06T15:15:03.056Z,78.06,1003.91,31,26.04,81,88.62
73,2017-07-06T15:30:03.834Z,79.43,1003.73,31,26.26,81,88.21
77,2017-07-06T15:45:03.742Z,80.3,1003.7,39,26.29,88,87.76
77,2017-07-06T16:00:03.432Z,79.16,1003.78,39,26.04,88,87.85
77,2017-07-06T16:15:03.196Z,80.1,1003.67,39,26.46,88,85.47
90,2017-07-06T16:30:04.052Z,80.97,1003.54,35,26.12,99,86.09
90,2017-07-06T16:45:02.972Z,80.72,1003.58,35,25.9,99,83.9
90,2017-07-06T17:00:03.358Z,81.36,1003.53,35,26.16,99,81.36
37,2017-07-06T17:15:03.191Z,81.42,1003.5,17,25.99,40,82.33
37,2017-07-06T17:30:03.862Z,81.71,1003.48,17,26.04,40,81.95
37,2017-07-06T17:45:03.866Z,81.44,1003.49,17,26.6,40,78.98
39,2017-07-06T18:00:03.349Z,81.33,1003.5,14,27.22,44,77.06
39,2017-07-06T18:15:03.254Z,82.54,1003.35,14,27.11,44,77.2
39,2017-07-06T18:30:02.846Z,83.6,1003.26,14,26.69,44,78.64
40,2017-07-06T18:45:03.878Z,83.38,1003.27,17,27.93,51,74.99
40,2017-07-06T19:00:03.572Z,83.7,1003.21,17,28.26,51,73.65
40,2017-07-06T19:15:03.574Z,85.42,1003.03,17,28.4,51,73.21
18,2017-07-06T19:30:03.264Z,87.58,1002.8,9,28.12,22,74.48
18,2017-07-06T19:45:03.277Z,86.36,1002.91,9,26.64,22,77.75
18,2017-07-06T20:00:03.986Z,86.18,1002.94,9,26.8,22,75.97
24,2017-07-06T20:15:03.122Z,85.82,1002.95,10,27.5,28,75.43
24,2017-07-06T20:30:03.894Z,85.69,1003,10,27.47,28,74.85
24,2017-07-06T20:45:14.133Z,84.71,1003.1,10,26.83,28,75.39
26,2017-07-06T21:00:03.694Z,84.58,1003.14,11,27.34,29,73.76
26,2017-07-06T21:15:03.695Z,84.88,1003.09,11,27.36,29,73.53
16,2017-07-06T21:30:03.077Z,84.72,1003.12,6,27.56,19,72.48
16,2017-07-06T21:45:03.182Z,84.36,1003.17,6,26.59,19,75.98
16,2017-07-06T22:00:13.850Z,84.7,1003.12,6,27.77,19,73.64
27,2017-07-06T22:15:03.904Z,85.83,1002.99,14,27.58,31,74.95
27,2017-07-06T22:30:03.634Z,85.67,1002.99,14,28.36,31,73.16
27,2017-07-06T22:45:03.500Z,85.29,1003.05,14,27.86,31,73.47
31,2017-07-06T23:00:03.195Z,86.65,1002.89,11,29.06,37,69.01
31,2017-07-06T23:15:03.198Z,87.58,1002.8,11,29.09,37,68.44
31,2017-07-06T23:30:03.813Z,89.4,1002.56,11,29.4,37,67.75
24,2017-07-06T23:45:03.611Z,90.21,1002.48,9,29.71,27,67.67
24,2017-07-07T00:00:03.316Z,89.32,1002.53,9,28.6,27,72.87
24,2017-07-07T00:15:03.202Z,90.01,1002.49,9,28.65,27,72.37
18,2017-07-07T00:30:02.901Z,89.34,1002.56,8,28.54,19,72.42
18,2017-07-07T00:45:03.822Z,89.35,1002.56,8,28.55,19,72.77
18,2017-07-07T01:00:03.364Z,89.57,1002.54,8,28.92,19,72
18,2017-07-07T01:15:03.332Z,89.35,1002.56,7,28.71,21,72.85
18,2017-07-07T01:30:03.016Z,88.55,1002.67,7,28.37,21,75.43
18,2017-07-07T01:45:03.019Z,87.59,1002.77,7,27.92,21,77.84
17,2017-07-07T02:00:03.483Z,87.81,1002.75,8,27.8,23,80.3
17,2017-07-07T02:15:03.428Z,88.26,1002.69,8,27.67,23,80.73
17,2017-07-07T02:30:03.121Z,89,1002.61,8,27.49,23,85.13
32,2017-07-07T02:45:03.020Z,89.07,1002.59,14,27.91,38,82.58
32,2017-07-07T03:00:03.536Z,90.84,1002.39,14,28.52,38,77.51
32,2017-07-07T03:15:03.331Z,90.71,1002.41,14,28.62,38,77.48
37,2017-07-07T03:30:03.134Z,90.65,1002.41,18,28.87,41,77.46
37,2017-07-07T03:45:03.029Z,91.44,1002.3,18,29.82,41,73.99
37,2017-07-07T04:00:03.546Z,92.42,1002.2,18,29.1,41,75.79
33,2017-07-07T04:15:03.391Z,94.64,1001.91,12,29.07,41,75.8
33,2017-07-07T04:30:03.137Z,96.23,1001.73,12,29.17,41,76.03
33,2017-07-07T04:45:03.140Z,96.92,1001.66,12,29.52,41,75.21
31,2017-07-07T05:00:13.923Z,97.33,1001.61,13,29.66,35,73.39
31,2017-07-07T05:15:13.900Z,97.15,1001.64,13,29.57,35,73.31
31,2017-07-07T05:30:14.066Z,96.5,1001.73,13,29.26,35,75.07
23,2017-07-07T05:45:03.047Z,97.78,1001.57,10,29.35,25,74.15
23,2017-07-07T06:00:03.703Z,97.86,1001.55,10,28.9,25,75.54
23,2017-07-07T06:15:03.666Z,99.37,1001.37,10,29.46,25,73.99
26,2017-07-07T06:30:03.458Z,100.17,1001.25,10,29.36,29,74.2
26,2017-07-07T06:45:03.768Z,100.85,1001.18,10,29.23,29,74.69
26,2017-07-07T07:00:03.262Z,101.95,1001.09,10,29.2,29,74.22
18,2017-07-07T07:15:03.386Z,103.32,1000.91,8,29.44,21,73.83
18,2017-07-07T07:30:03.097Z,104.49,1000.76,8,29.19,21,74.2
22,2017-07-07T07:45:02.903Z,105.45,1000.64,9,29.2,26,75
22,2017-07-07T08:00:03.583Z,106.62,1000.52,9,29.36,26,74.57
22,2017-07-07T08:15:03.387Z,107.35,1000.42,9,29.13,26,75.13
20,2017-07-07T08:30:03.282Z,108.01,1000.34,11,28.85,25,75.47
20,2017-07-07T08:45:03.181Z,108.09,1000.33,11,29.08,25,75.18
20,2017-07-07T09:00:03.803Z,108.79,1000.25,11,29.02,25,75.69
22,2017-07-07T09:15:03.696Z,108.31,1000.33,10,28.68,27,76.53
22,2017-07-07T09:30:13.377Z,107.16,1000.47,9,27.43,25,83.28
22,2017-07-07T09:45:03.418Z,107.29,1000.43,9,27.3,25,84.8
28,2017-07-07T10:00:23.521Z,104.89,1000.71,11,27.07,32,86.72
28,2017-07-07T10:15:03.372Z,107.54,1000.41,11,26.99,32,86.49
23,2017-07-07T10:30:02.924Z,105.32,1000.65,9,27.03,24,87.19
25,2017-07-07T10:45:03.948Z,103.48,1000.88,13,26.41,28,89.89
25,2017-07-07T11:00:03.579Z,104.44,1000.75,13,26.52,28,91.23
24,2017-07-07T11:15:03.690Z,102.49,1001,9,27.18,27,86.43
19,2017-07-07T11:30:03.292Z,103.93,1000.8,9,27.12,21,86.38
19,2017-07-07T11:45:03.264Z,104.94,1000.72,9,27.83,21,82.41
18,2017-07-07T12:00:03.891Z,100.53,1001.23,9,28.22,20,80.5
15,2017-07-07T12:15:03.895Z,101.63,1001.08,5,27.12,16,85.66
15,2017-07-07T12:30:03.591Z,102.07,1001.08,5,26.68,16,87.45
15,2017-07-07T12:45:04.719Z,102.47,1000.98,5,27.94,16,80.85
14,2017-07-07T13:00:03.288Z,102.3,1001.02,6,28.21,18,79.91
14,2017-07-07T13:15:03.091Z,102.83,1000.96,6,28.56,18,77.43
14,2017-07-07T13:30:03.906Z,102.17,1001.01,6,28.74,18,79.67
16,2017-07-07T13:45:03.909Z,101.96,1001.03,6,28.04,20,82.25
16,2017-07-07T14:00:03.606Z,101.42,1001.11,6,26.77,20,89.23
16,2017-07-07T14:15:03.890Z,100.7,1001.21,6,27.1,20,85.6
22,2017-07-07T14:30:03.510Z,100.54,1001.25,10,26.75,27,86.68
22,2017-07-07T14:45:03.616Z,101.42,1001.12,10,26.62,27,87.94
22,2017-07-07T15:00:03.142Z,102.35,1001.02,10,27.08,27,86.5
18,2017-07-07T15:15:02.997Z,103.08,1000.92,9,27.48,20,83.61
18,2017-07-07T15:30:03.628Z,103.27,1000.91,9,26.82,20,86.34
18,2017-07-07T15:45:03.638Z,103.74,1000.84,9,26.9,20,86.55
18,2017-07-07T16:00:03.213Z,103.42,1000.89,8,26.66,22,87.15
18,2017-07-07T16:15:03.118Z,104.11,1000.81,8,27.64,22,83.85
18,2017-07-07T16:30:03.758Z,103.76,1000.85,8,26.79,22,86.51
28,2017-07-07T16:45:03.834Z,104.66,1000.74,12,27.13,30,84.72
28,2017-07-07T17:00:03.431Z,104.73,1000.74,12,26.56,30,87.07
28,2017-07-07T17:15:13.467Z,104.76,1000.7,12,26.91,30,86.08
33,2017-07-07T17:30:03.023Z,104.93,1000.72,14,26.6,37,87.37
33,2017-07-07T17:45:02.837Z,105.62,1000.63,14,26.75,37,87.16
33,2017-07-07T18:00:13.684Z,106.3,1000.55,14,27.22,37,85.16
34,2017-07-07T18:15:03.445Z,107.04,1000.44,14,27.03,41,85.11
34,2017-07-07T18:30:03.157Z,109.24,1000.2,14,27.23,41,84.83
39,2017-07-07T18:45:03.038Z,109.47,1000.18,18,27.08,49,85.03
39,2017-07-07T19:00:03.557Z,110.86,1000.03,18,26.68,49,86.57
39,2017-07-07T19:15:03.558Z,111.8,999.91,18,26.76,49,85.99
43,2017-07-07T19:30:13.289Z,111.45,999.92,19,27.26,53,84.33
43,2017-07-07T19:45:03.155Z,113.86,999.66,19,26.74,53,86.09
43,2017-07-07T20:00:03.665Z,114.46,999.56,19,26.8,53,86.12
45,2017-07-07T20:15:03.471Z,113.5,999.68,23,26.94,55,85.97
45,2017-07-07T20:30:03.263Z,113.19,999.72,23,26.87,55,86.06
45,2017-07-07T20:45:03.060Z,114.33,999.6,23,26.84,55,86.49
55,2017-07-07T21:00:13.917Z,113.02,999.75,26,26.87,63,87.18
55,2017-07-07T21:15:03.883Z,112.07,999.86,26,26.75,63,88.5
48,2017-07-07T21:30:03.431Z,110,1000.1,22,26.45,59,90.24
48,2017-07-07T21:45:03.276Z,109.73,1000.15,22,26.37,59,90.54
48,2017-07-07T22:00:03.786Z,108.47,1000.29,23,27.04,57,87.38
43,2017-07-07T22:15:03.787Z,108.67,1000.23,17,25.9,48,88.5
43,2017-07-07T22:30:03.388Z,107.84,1000.37,17,25.66,48,88.75
10,2017-07-07T22:45:03.223Z,105.86,1000.6,3,26.06,12,87.34
10,2017-07-07T23:00:03.895Z,106.28,1000.55,3,25.96,15,87.12
10,2017-07-07T23:15:04.021Z,104.1,1000.81,3,25.75,15,87.38
7,2017-07-07T23:30:03.800Z,104.22,1000.81,2,26.33,9,86.24
6,2017-07-07T23:45:03.692Z,103.55,1000.88,3,25.34,8,92.15
6,2017-07-08T00:00:03.190Z,103.23,1000.9,3,25.38,8,90.97
18,2017-07-08T00:15:03.291Z,103.5,1000.88,7,25.75,21,89.54
17,2017-07-08T00:30:03.094Z,103.93,1000.85,9,25.67,18,89.75
17,2017-07-08T00:45:02.996Z,104.04,1000.82,9,25.86,18,88.68
11,2017-07-08T01:00:13.748Z,104.14,1000.8,3,27.13,11,84.43
14,2017-07-08T01:15:13.950Z,102.59,1000.98,6,26.22,14,88.46
14,2017-07-08T01:30:03.504Z,102.75,1000.97,6,26.25,14,88.22
17,2017-07-08T01:45:03.409Z,104.28,1000.79,8,26.37,18,87.12
31,2017-07-08T02:00:02.999Z,102.86,1000.94,14,26.51,33,86.95
31,2017-07-08T02:15:02.901Z,105.06,1000.72,14,26.94,33,86.3
43,2017-07-08T02:30:03.620Z,103.52,1000.88,16,26.59,52,87.3
54,2017-07-08T02:45:03.522Z,102.14,1001.05,23,26.54,64,87.56
54,2017-07-08T03:00:03.030Z,100.74,1001.21,23,26.88,64,86.96
54,2017-07-08T03:15:03.113Z,101.36,1001.12,23,27.56,64,84.01
69,2017-07-08T03:30:03.832Z,101.47,1001.12,29,27.34,73,85.4
69,2017-07-08T03:45:03.948Z,102.65,1000.99,29,27.55,73,84.28
69,2017-07-08T04:00:03.525Z,102.5,1001,29,27.62,73,84.46
90,2017-07-08T04:15:03.424Z,103.58,1000.88,40,27.71,102,83.89
90,2017-07-08T04:30:03.016Z,103.69,1000.86,40,28.15,102,82.74
90,2017-07-08T04:45:02.816Z,105.89,1000.58,40,28.76,102,80.4
90,2017-07-08T05:00:03.433Z,105.95,1000.59,40,29.14,102,79.19
90,2017-07-08T05:15:03.434Z,107.52,1000.39,40,29.36,102,77.61
90,2017-07-08T05:30:03.127Z,107.79,1000.39,40,29.06,102,78.61
64,2017-07-08T05:45:03.248Z,106.16,1000.54,26,28.59,70,79.97
64,2017-07-08T06:00:04.062Z,107.19,1000.44,26,28.89,70,78.15
64,2017-07-08T06:15:03.138Z,108.68,1000.28,26,29.43,70,76.92
47,2017-07-08T06:30:03.863Z,108.21,1000.32,24,29,54,77.26
47,2017-07-08T06:45:03.758Z,109.29,1000.21,24,28.94,54,77.76
47,2017-07-08T07:00:03.244Z,109.3,1000.19,24,28.77,54,78.45
49,2017-07-08T07:15:03.098Z,107.63,1000.37,23,28.09,56,82.41
49,2017-07-08T07:30:24.245Z,108.6,1000.27,23,27.94,56,83.57
56,2017-07-08T07:45:03.081Z,109.02,1000.25,24,27.92,65,82.82
56,2017-07-08T08:00:03.766Z,108.34,1000.28,24,27.75,65,82.98
56,2017-07-08T08:15:03.887Z,108.46,1000.29,24,27.72,65,82.83
53,2017-07-08T08:30:03.790Z,108.19,1000.32,28,27.54,58,83.07
53,2017-07-08T08:45:03.677Z,107.24,1000.43,28,27.36,58,83.83
53,2017-07-08T09:00:03.265Z,106.89,1000.49,28,27.43,58,83.55
60,2017-07-08T09:15:03.475Z,105.21,1000.7,28,27.46,66,83.5
54,2017-07-08T09:30:03.171Z,103.3,1000.9,26,27.53,66,83
54,2017-07-08T09:45:03.276Z,102.34,1001.01,26,27.39,66,83.44
41,2017-07-08T10:00:14.129Z,100.94,1001.18,20,27.49,47,82.8
44,2017-07-08T10:15:13.016Z,99.12,1001.37,22,27.46,57,83.08
44,2017-07-08T10:30:03.604Z,99.91,1001.31,22,27.4,57,83.12
39,2017-07-08T10:45:13.622Z,99.49,1001.32,19,27.46,45,82.67
37,2017-07-08T11:00:03.488Z,98.69,1001.45,14,27.11,41,82.9
37,2017-07-08T11:15:03.407Z,98.45,1001.49,14,27.2,41,82.81
36,2017-07-08T11:30:03.000Z,96.14,1001.74,16,27.19,39,82.63
32,2017-07-08T11:45:13.018Z,94.63,1001.95,18,27.76,36,79.81
32,2017-07-08T12:00:03.705Z,93.2,1002.1,18,27.55,36,80.7
31,2017-07-08T12:15:03.605Z,92.64,1002.18,12,28.31,37,76.48
29,2017-07-08T12:30:03.397Z,91.66,1002.28,11,28.34,31,75.91
29,2017-07-08T12:45:03.401Z,89.75,1002.52,11,28.19,31,77.23
29,2017-07-08T13:00:03.003Z,89.65,1002.52,13,27.85,33,78.9
33,2017-07-08T13:15:02.888Z,89.71,1002.52,14,27.98,39,77.68
33,2017-07-08T13:30:03.614Z,90.46,1002.43,14,27.85,39,78.81
33,2017-07-08T13:45:13.790Z,90.58,1002.4,18,27.95,36,77.63
29,2017-07-08T14:00:03.660Z,89.74,1002.51,13,28.45,31,75.05
29,2017-07-08T14:15:03.528Z,88.33,1002.69,13,28.44,31,75.52
32,2017-07-08T14:30:03.230Z,88.74,1002.65,10,27.15,36,82.6
36,2017-07-08T14:45:03.314Z,90.04,1002.52,18,27.67,42,79.54
36,2017-07-08T15:00:03.008Z,89.25,1002.58,18,27.5,42,81.08
33,2017-07-08T15:15:03.115Z,90.78,1002.38,14,27.11,43,83.08
32,2017-07-08T15:30:13.969Z,92.25,1002.22,12,26.98,38,83.71
32,2017-07-08T15:45:03.833Z,92.24,1002.23,12,27.03,38,83.39
30,2017-07-08T16:00:03.324Z,90.19,1002.48,14,27.38,35,82
30,2017-07-08T16:15:03.428Z,90.65,1002.41,14,28.42,34,77.81
30,2017-07-08T16:30:03.226Z,89.26,1002.58,14,27.53,34,81.58
39,2017-07-08T16:45:03.121Z,89.41,1002.52,16,27.07,41,83.94
36,2017-07-08T17:00:03.870Z,87.98,1002.73,20,27.52,42,82.28
36,2017-07-08T17:15:04.201Z,88.37,1002.69,20,26.97,42,84.43
42,2017-07-08T17:30:03.852Z,87.4,1002.8,19,27.94,52,82.19
47,2017-07-08T17:45:03.776Z,86.8,1002.87,17,26.72,52,89.02
47,2017-07-08T18:00:03.445Z,87.86,1002.72,17,27.49,52,85.23
57,2017-07-08T18:15:03.409Z,88.89,1002.64,27,26.75,71,90.36
65,2017-07-08T18:30:03.219Z,89.32,1002.57,28,27.31,74,87.08
65,2017-07-08T18:45:03.151Z,89.59,1002.54,28,28.19,74,82.43
47,2017-07-08T19:00:03.971Z,89.58,1002.53,24,27.21,53,85.88
49,2017-07-08T19:15:03.043Z,88.94,1002.63,23,28.17,59,82.06
49,2017-07-08T19:30:03.922Z,88.46,1002.67,23,27.75,59,84.65
62,2017-07-08T19:45:03.882Z,88.58,1002.63,26,27.98,72,82.99
47,2017-07-08T20:00:03.370Z,88.83,1002.63,17,27.65,57,84.8
47,2017-07-08T20:15:03.372Z,88.97,1002.61,17,26.99,57,88.76
51,2017-07-08T20:30:02.967Z,88.98,1002.61,22,27.39,60,86.73
38,2017-07-08T20:45:03.887Z,89.01,1002.58,17,27.01,43,87.79
38,2017-07-08T21:00:03.479Z,89.65,1002.52,17,27.05,43,87.9
35,2017-07-08T21:15:03.481Z,90.33,1002.45,17,26.81,39,88.95
30,2017-07-08T21:30:03.080Z,91.01,1002.38,12,25.02,36,99.25
30,2017-07-08T21:45:03.077Z,90.38,1002.44,12,25,36,99.48
42,2017-07-08T22:00:03.802Z,90.15,1002.46,16,25.07,49,99.73
43,2017-07-08T22:15:03.797Z,90.56,1002.4,19,25.28,51,99.27
43,2017-07-08T22:30:03.492Z,89.79,1002.49,19,25.42,51,98.3
49,2017-07-08T22:45:03.492Z,88.89,1002.61,22,25.48,62,98.88
52,2017-07-08T23:00:03.195Z,89.39,1002.56,19,25.55,63,99.59
52,2017-07-08T23:15:02.954Z,89.01,1002.59,19,25.6,63,99.53
64,2017-07-08T23:30:03.525Z,89.98,1002.48,28,25.74,72,98.44
64,2017-07-08T23:45:03.404Z,90.25,1002.46,32,25.92,75,98.44
64,2017-07-09T00:00:13.055Z,90.06,1002.48,32,25.99,75,98.16
59,2017-07-09T00:15:02.998Z,89.02,1002.62,24,26.25,69,95.83
43,2017-07-09T00:30:03.716Z,89.54,1002.51,21,27.71,52,89.25
43,2017-07-09T00:45:03.618Z,91.22,1002.34,21,29.33,52,83.24
34,2017-07-09T01:00:03.313Z,90.15,1002.47,18,28.85,37,79.84
39,2017-07-09T01:15:03.211Z,90.15,1002.45,21,29.57,47,76.82
39,2017-07-09T01:30:03.824Z,90.83,1002.37,21,29.64,47,77
42,2017-07-09T01:45:03.725Z,90.17,1002.47,15,29,49,79.84
51,2017-07-09T02:00:03.444Z,91.28,1002.33,23,29.32,57,78.87
51,2017-07-09T02:15:03.554Z,91.58,1002.3,23,29.17,57,80.45
57,2017-07-09T02:30:03.325Z,93.49,1002.05,29,29.69,65,77.25
52,2017-07-09T02:45:03.223Z,93.54,1002.08,19,29.99,62,76.14
52,2017-07-09T03:00:03.849Z,94.18,1001.99,19,30.4,62,76.24
52,2017-07-09T03:15:03.631Z,96.42,1001.73,19,32.23,62,69.17
61,2017-07-09T03:30:03.329Z,98.08,1001.51,24,31.21,74,70.55
61,2017-07-09T03:45:03.229Z,99.6,1001.36,24,32.94,74,66.83
61,2017-07-09T04:00:03.843Z,100.41,1001.26,24,31.34,74,69.91
68,2017-07-09T04:15:03.740Z,101.41,1001.12,32,30.46,78,77.2
68,2017-07-09T04:30:03.447Z,101.64,1001.09,32,30.97,78,80.94
68,2017-07-09T04:45:03.337Z,102.73,1000.97,32,31.67,78,75.61
77,2017-07-09T05:00:02.824Z,103.76,1000.85,35,33.59,88,66.63
77,2017-07-09T05:15:03.751Z,105.48,1000.64,35,32.76,88,67.75
77,2017-07-09T05:30:03.551Z,108.33,1000.31,35,34.03,88,63.71
61,2017-07-09T05:45:03.662Z,111.31,999.95,26,32.43,74,70.38
61,2017-07-09T06:00:03.249Z,112.66,999.77,26,31.6,74,73.09
61,2017-07-09T06:15:03.147Z,111.69,999.91,26,31.46,74,74.55
74,2017-07-09T06:30:03.866Z,112.48,999.8,37,30.39,85,75.15
74,2017-07-09T06:45:03.710Z,112.4,999.84,37,30.44,85,77.03
74,2017-07-09T07:00:03.319Z,113.32,999.74,37,29.62,85,77.87
38,2017-07-09T07:15:03.260Z,112.71,999.79,13,28.87,41,78.02
38,2017-07-09T07:30:02.852Z,113.12,999.76,13,29.08,41,80
38,2017-07-09T07:45:03.775Z,113.31,999.71,13,29.88,41,77.7
37,2017-07-09T08:00:03.477Z,116.76,999.28,14,28.95,43,79.8
37,2017-07-09T08:15:03.475Z,118.09,999.15,14,29.66,43,77.63
37,2017-07-09T08:30:03.166Z,118.2,999.13,14,28.85,43,78.71
24,2017-07-09T08:45:03.103Z,119.46,998.97,11,29.09,29,78.76
24,2017-07-09T09:00:03.621Z,119.98,998.94,11,29.24,29,77.8
24,2017-07-09T09:15:13.616Z,119.67,998.95,11,28.19,29,82.14
28,2017-07-09T09:30:03.386Z,119.32,998.97,13,29.39,33,77.47
28,2017-07-09T09:45:03.482Z,119.4,998.99,13,28.16,33,82.95
28,2017-07-09T10:00:03.076Z,119.84,998.93,12,28.87,31,79.82
32,2017-07-09T10:15:02.975Z,118.48,999.13,14,27.81,36,86.27
32,2017-07-09T10:30:03.696Z,118.34,999.08,14,27.36,36,89.09
39,2017-07-09T10:45:03.699Z,121.22,998.78,19,27.18,44,91.72
44,2017-07-09T11:00:03.292Z,118.68,999.08,19,26.85,47,93.32
44,2017-07-09T11:15:13.815Z,118.45,999.11,19,26.91,47,93.58
49,2017-07-09T11:30:03.506Z,116.54,999.33,24,26.92,57,96.19
62,2017-07-09T11:45:03.508Z,115.93,999.4,26,27.53,70,90.35
62,2017-07-09T12:00:03.002Z,112.79,999.77,26,27.12,70,93.36
32,2017-07-09T12:15:03.746Z,115.61,999.44,14,28.69,36,82.77
33,2017-07-09T12:30:03.510Z,116.22,999.34,15,28.5,39,83.09
18,2017-07-09T12:45:03.509Z,114.06,999.63,8,26.39,20,93.49
18,2017-07-09T13:00:03.311Z,115.18,999.5,8,26.9,20,90.29
18,2017-07-09T13:15:04.122Z,119.65,998.97,8,27.52,20,83.71
8,2017-07-09T13:30:03.713Z,121.74,998.72,2,27.19,11,86.81
8,2017-07-09T13:45:03.712Z,121.53,998.75,2,27.93,11,83.66
8,2017-07-09T14:00:03.502Z,121.56,998.73,2,26.32,11,90.71
10,2017-07-09T14:15:03.637Z,120.28,998.9,3,25.18,12,93.82
10,2017-07-09T14:30:03.427Z,122.39,998.66,3,25.73,12,91.23
10,2017-07-09T14:45:03.427Z,125.35,998.28,3,27.11,12,86.49
3,2017-07-09T15:00:02.922Z,127.13,998.1,0,27.19,3,86
3,2017-07-09T15:15:03.938Z,127.36,998.05,0,26.83,3,87.2
3,2017-07-09T15:30:03.534Z,129.51,997.79,0,26.68,3,85.76
1,2017-07-09T15:45:03.534Z,130.97,997.6,0,26.99,2,85.84
1,2017-07-09T16:00:02.963Z,134.84,997.14,0,26.8,2,86.08
1,2017-07-09T16:15:03.963Z,135.38,997.1,0,27.71,2,85.45
5,2017-07-09T16:30:03.769Z,136.64,996.96,1,27.31,6,85.23
5,2017-07-09T16:45:03.766Z,136.7,996.95,1,27.73,6,83.49
5,2017-07-09T17:00:03.445Z,138.3,996.76,1,26.97,6,86.84
8,2017-07-09T17:15:03.343Z,139.02,996.65,3,27.02,11,86.58
8,2017-07-09T17:30:02.868Z,139.56,996.58,3,27.07,11,86.04
8,2017-07-09T17:45:03.867Z,141.01,996.43,3,27.89,11,83.88
3,2017-07-09T18:00:03.455Z,141.37,996.41,0,27.67,4,84.46
3,2017-07-09T18:15:03.457Z,142.69,996.24,0,27.14,4,85.05
3,2017-07-09T18:30:03.364Z,145.23,995.93,0,27.17,4,86.96
5,2017-07-09T18:45:03.466Z,146.7,995.76,3,26.86,8,86.59
5,2017-07-09T19:00:02.892Z,148.07,995.63,3,27.57,8,85.07
5,2017-07-09T19:15:03.773Z,149.13,995.47,3,27.71,8,84.83
7,2017-07-09T19:30:03.402Z,149.37,995.44,1,27.34,10,84.89
7,2017-07-09T19:45:03.472Z,150.03,995.35,1,27.71,10,84.74
7,2017-07-09T20:00:03.171Z,149.1,995.44,1,27.49,10,84.5
13,2017-07-09T20:15:13.418Z,150.67,995.3,4,28,17,83.27
13,2017-07-09T20:30:03.211Z,151.14,995.25,4,27.01,17,87.61
13,2017-07-09T20:45:03.281Z,152.53,995.09,4,26.01,17,92.19
17,2017-07-09T21:00:03.906Z,152.9,995.04,7,26.08,22,92.23
17,2017-07-09T21:15:03.901Z,153.44,994.96,7,26.44,22,90.77
28,2017-07-09T21:30:03.596Z,154.18,994.86,9,26.21,32,91.63
28,2017-07-09T21:45:13.636Z,154.86,994.79,9,26.71,32,89.8
31,2017-07-09T22:00:03.131Z,155.83,994.65,14,27.4,38,88.33
31,2017-07-09T22:15:03.092Z,156.77,994.56,15,25.53,33,99.17
31,2017-07-09T22:30:03.811Z,153.97,994.92,15,25.39,33,100
45,2017-07-09T22:45:03.812Z,153.87,994.9,19,26.44,50,98.43
34,2017-07-09T23:00:03.613Z,154.55,994.82,12,27.6,39,88.87
34,2017-07-09T23:15:13.648Z,151.91,995.14,12,26.01,39,95.93
20,2017-07-09T23:30:03.327Z,151.2,995.24,11,25.7,24,98.46
16,2017-07-09T23:45:03.410Z,152.16,995.1,8,25.73,18,99.3
16,2017-07-10T00:00:03.105Z,152.43,995.07,8,25.93,18,98.57
29,2017-07-10T00:15:03.211Z,152.49,995.08,11,25.95,34,98.26
41,2017-07-10T00:30:03.927Z,152.56,995.06,19,26.25,45,96.83
41,2017-07-10T00:45:04.034Z,153.41,994.96,19,26.17,45,97.32
49,2017-07-10T01:00:03.534Z,153.8,994.87,26,26.58,55,94.85
49,2017-07-10T01:15:03.529Z,152.36,995.07,21,25.93,60,99.71
